,comment
0,恭喜 
1,字写得真好 
2,是你自己写得 全部简体字 
3,牙买嗲 
4,不喜欢日本人 
5,哎，祝福 
6,回复@雷叔叔D:你这么爱国怎么还在用苹果手机啊 
7,回复@男神灬彬彬:把苹果手机摔了再说话吧 
8,回复@舒淇:台湾和日本结合亲上加亲，都直接做使者了 
9,恭喜，我的女神 
10, 
11,黑泽夫人你好，请问钓鱼岛属于哪个国家的？ 
12,回复@曾舜晞Joseph:你要说  祝福志玲日本姐姐 
13,回复@张歆艺:祝福你日本妈妈去吧 
14,回复@馬天宇:傻玩意 
15,回复@黄晓明:亏你还演过抗战片，做演员越来越无脑了 这就是戏子无情 
16,回复@李治廷:你是不会说中文还是装文采好 
17,回复@决堤怎么提:滚出中国 不要再拍中国视频和电视 
18,回复@舒淇:滚出中国！！！！！！！无耻！！！！！ 
19,回复@hellohalou:是啊 
20,几时离婚呢？ 
21,相貌好配啊
22,回复@决堤怎么提:你先滚出微博8 
23,看到有人骂你我就放心了哈哈哈。 
24,勿忘国耻。 
25,回复@决堤怎么提:作为公众人物，高调嫁到日本，以后她的后代跟中国没有任何关系，还可能成为敌人，为什么要祝福她，台湾没男人吗？中国没男人吗？她这么做完完全全就是看不上中国，她想成为日本人，南京大屠杀中杀害了我们千千万万同胞的日本人，一个赤裸裸的种族叛徒，还那么多人祝福她 
26,别找日本的好吗？ 
27,林志玲嫁日本人，我真瞧不起她，抗日十年，死了多少中国人，国耻呀，南京大屠杀我永远忘不了，几代人流血拼来的和平，她却嫁给日本人，中国找不到好男人吗…… 
28,回复@帅到自然醒__:滾远点，林志玲嫁日本人，我真瞧不起她，抗日十年，死了多少中国人，国耻呀，南京大屠杀我永远忘不了，几代人流血拼来的和平，她却嫁给日本人，中国找不到好男人吗？ 
29,回复@苏芒:林志玲嫁日本人，我真瞧不起她，抗日十年，死了多少中国人，国耻呀，南京大屠杀我永远忘不了，几代人流血拼来的和平，她却嫁给日本人，中国找不到好男人吗？ 
30,回复@柳岩:林志玲嫁日本人，我真瞧不起她，抗日十年，死了多少中国人，国耻呀，南京大屠杀我永远忘不了，几代人流血拼来的和平，她却嫁给日本人，中国找不到好男人…… 
31,回复@舒淇:林志玲嫁日本人，我真瞧不起她，抗日十年，死了多少中国人，国耻呀，南京大屠杀我永远忘不了，几代人流血拼来的和平，她却嫁给日本人，中国找不到好男人吗？ 
32,嫁给日本人真的会幸福吗 
33,为什么嫁给一个日本淫、那样真的会幸福吗？ 
34,口味真重 
35,回复@William_____li:坚决支持 
36,心痛 
37,嫁不出去了还是中国没男人了？看着好好别扭！赚了一辈子中国粉丝的面子，结果去服务日本人，毁三观啊！ 
38,你早晚得离婚 
39,日本人。。。。。 
40,呀？？？幸福 
41,其实，志玲姐姐以后会活得很累，每天要防着公公，弟弟，哥哥，邻居，老公的上司，同事，送水的工人，查水表的，修水管的，坐在家都怕突然会闯进好几个光头大汉，出行还不能坐电车。最重要的，是不能当老师了。 
42,黑泽志玲 ， 第一站南京其心何意  ！非我族类其心必异  ！滚！ 你若下海  ，我必到场！ 
43,找了个日本人！是吗？ 
44,希望早日看到黑泽志玲与波多野结衣合作的作品 
45,回复@Seeyo昕瑶:居然嫁了个倭寇 
46,嫁了个倭寇 
47,回复@诗意一身千寻瀑:林嫁了个倭寇 
48,回复@决堤怎么提:林志玲嫁个倭寇 
49,很有夫妻相 
50,回复@景川大叔:林志玲嫁了个倭寇 
51,恭喜志玲女神，一定要99哇 
52,回复@Ethan黃思潤:人家都结婚了，不干过怎么征服的了她😂 
53,祝福，玲姐姐，开开心心，身体健康 
54, 
55,回复@调戏虾米的鱼儿哦:愤青？这里麻烦您读完高中呢 
56,回复@zzx爸爸:滚 
57,回复@mini森屿麋鹿mini:软骨狗，慕洋犬！！！ 
58,回复@社长Angel7:从中也可以看出你是个慕洋犬，软骨狗 
59,请求封杀 
60,回复@社长Angel7:台湾同胞？嫁个一个日本人的台湾同胞 
61,嫁给日本人 呵呵 中国13亿都没有你相中的吗？ 
62,大姐你真行！ 
63,是民工团的！！！！在日本超火！！ 
64,因为你嫁给日本人！所以真的不想祝福你… 
65,好美！ 
66,我也要祝福 
67,没看到黄渤的祝福 
68, 
69,[xkl转圈] 
70,请你勿忘国耻 
71,刚才看了一遍金陵十三钗，哭的好难过，瞧不起她嫁给日本人，勿忘国耻 
72,期待出道 
73,该给你取个日本名字 
74,虚伪的明星 看到没有黄渤我就放心了 
75,回复@always85308:告诉你 你去帮她别告诉我们～没有们 
76,回复@社长Angel7:楼主说的几个字，和台湾有什么关系，攻击台湾了？？我看是你一叶障目！ 
77,回复@社长Angel7:啥玩意啊你，林志玲是台湾人怎么了，我看你也挺会道德绑架啊，楼主说台湾不好了吗？啥玩意 
78,你有病啊 
79,中国人那么多，杂就找个日本的，哎失望有！ 
80,99哦 
81,你都要结婚了，我们怎么办？ 
82,我是你的粉丝迷，请加我微信2207085777，QQ号码2207085777 
83, 
84,嫁哪里不好要嫁给日本？ 
85,嫁给日本的狗，讨厌你 
86,回复@舒淇:@魔厨-胡先生: 素人，黑泽志玲おぁすきぜづふ！ 
87,回复@季思晨啊:她嫁给日本人！！！她的娘家不是中国，中国没这样的人！国耻啊！！！！！ 
88,看那人样子不喜欢你和他一起，但是也要祝福你   祝福幸福快乐 一定快乐噢 
89,唉！看这么多评论就想说一句  别人喷管我屁事 “别人嫁人管你屁事” 
90,喜欢你很久了今天才知道你居然嫁给日本人，我恨死你了！ 
91,恭喜 
92,林志玲还称台湾第一美女我说实在的你真的不是台湾第一美女 
93, 
94,没毛病 
95,0为什么找个日本人?以后别来挣中国的钱了 
96,封杀掉此等亲日分子 
97,@Taneeeee_ @Iiiimwhere 
98,婚姻是女人的大事，不能随便，就是觉得不适合我的女神 
99,祝你们幸福 
100,亲，新加坡出租求租，请关注国大志愿者维护的出租平台@狮城租房 
101,女神完結篇 
102,之前不了解，圈粉 
103,中国没人了么，怎么会嫁给日本人 
104,忘记历史，就意味着背叛 
105,回复@smlz大嘴:关你屁事 
106,赞一个 
107,志玲一定要幸福啊 
108,嫁到日本拍AV吗？ 
109,讨厌日本人  讨厌日本人 
110,回复@黄晓明:黄晓明爬 
111,祝福祝福 
112,你怎么不去拍AV肯定很受欢迎 
113,谢谢你用简体字手写，感受的到你的尊重和用心！传递！ 
114,都觉得志玲姐姐会和言承旭走下去🍃 但爱情本来就不是一个人一直等，另一个人犹豫不觉就能长久的🍃 过去一年不到的经历 又疯狂🈳 也很刻骨铭心🈳 未来会如何发展我不知道㊙ 但我相信时间会给出答案㊗ 我也依旧相信爱情❤ 相信对的时间对的人❤ 
115,字好好看！！ 
116,买猫买狗找我 eyh000 
117,看这男的笑的多开心 
118,回复@一沐淸树:对的，他们疯了 
119,太君好 
120,回复@mini森屿麋鹿mini:我觉得这层楼的人都疯了 
121,你不应该嫁给日本人，太幼稚了 
122,一想到她被扛着大腿，  对方呦西呦西我就难受 
123,滚 
124,回复@小流苏呀mmc:滚 
125,哭 
126,回复@馬天宇:如果他们一起生活能超过十年，我把头割下来，立贴为证 
127,回复@舒淇:如果他们能一起生活超过十年，我把头割下来，立贴为证 
128,你会和你老公参拜靖国神社吗 
129,失望到极点，从此一拍两散 
130,我们其实不希望你嫁给日本人 
131,回复@烤奶半糖加珍珠-:牛逼了，黑泽志玲把那些对她不好的评论全部都删了果然是嫁出去的女儿泼出去的水 
132,祝福志玲姐姐 
133,回复@莫须有大先生:这是真是吗？ 
134,不喜欢日本人 
135,有国才有家，中国赚的钱给日本人花，对不起恕我不能支持你，勿忘国耻，爱我中华 
136,志玲美女的字很漂亮啊 
137,恭喜 
138,女神结婚了 
139,回复@吴越传说:那个年代的牺牲跟现在的日本普通民众有屁关系，日本人和中国人一样也有好坏之分好吧，我真不知道人品跟国籍有什么关系 
140,居然嫁给个狗日！刚看完抗日纪录片 
141,林志玲滚出中国，别再国内圈钱了 
142,回复@舒淇:新浪微博以霎时瘫痪㊗️志玲姐姐大喜，亿万网友以网页持续卡顿㊗️志玲姐姐大喜…微博爆了，志玲姐姐幸福啦～ 
143,祝福 
144,以后又有新的电影看咯 
145,回复@吃土喝风买碟:没有那个年代的牺牲，你连受精卵都不是，还能在这敲键盘？ 
146,回复@吴越传说:你脑子有坑吧，本土人只能跟本土本土人结婚?你回你的抗日年代吧，把屏幕搞得真脏 
147,你tm忘了日本之前怎么对中国的吗 
148,姐，你认真的吗？ 
149,回复@算命看相先生:友军 
150,期待黑泽老师的作品 
151,回复@舒淇:滚出中国 
152,回复@嗳and韩:恭喜🎈🎈🎈🎈🎈🎈 
153,希望你不要过两年又离婚 回来捞金 国际友人“黑泽小姐” 呵呵哒 
154,回复@否极泰来110空荡荡:呵呵 
155,可惜了 特意过来拉黑一下 再见 
156,以后分不清波多野结衣和志玲了，都在日本演艺圈了😂 
157,你不觉得我们的女神嫁给日本人有种说不出的感觉吗？嫁给那个国家的不好非要嫁给日本人 
158,娶不到波多野结衣，就娶了个长得和波多野结衣像的人。眼光不错她是粉色的哦没有毛的那种，熟女人妻！！！ 
159,回复@北京老大爷-媚:怎么啦？ 
160,回复@柳岩:柳姐姐，你是胸大无脑吗？一个叛国贼有什么好祝福的 
161,黑泽老师多久出作品啊 
162,干嘛非嫁给日本人，讨厌+_+* 
163,黑泽志玲 
164,林志玲终于找到了真爱。谁让我们中国男人不会玩SM.滴蜡，皮鞭 
165, 
166,回复@小萝卜的心:老哥稳 
167,， 
168,恭喜恭喜，早生贵子 
169,条件这么好 偏偏嫁给了日本人 可惜了  
170,回复@白杨爱伦:哟西大大的良民 
171,回复@_馬_小超:这就是你的理由？ 
172,这条微博赞这么多。。。 
173,❤️ 
174,为什么要嫁日本人 
175,国耻 
176,中国男人就是不行，不会玩SM，滴蜡，皮鞭，灌肠。祝福志凌找到了真爱 
177,回复@馬天宇:一下子就看到了你的评论我高兴哦 
178, 
