,comment
0,回复@减负:秀儿，图我收走了！ 
1,这里的黑粉也挺可爱的嘛 
2,哈哈哈哈蔡徐坤和你不是一个世界哦哦，不是我说你还蛮潮的哦！作为奶奶还知道蔡徐坤😋人家会90度鞠躬你会什么呢？哦你会开美颜哈哈哈哈😂见光死嘻嘻嘻！你现在也可以好好享受和感受全网黑了哈哈哈😄最后奶奶心脏还是可以的哦！ 
3,回复@_Nini_ni:谢谢这层的hf 
4,回复@减负:为什么你三千赞能混到前排 
5,回复@PrKathle2n:上去吧 
6,回复@优质帅哥不可多得:哈哈哈哈这次的黑粉都好可爱啊 
7,@最好的大盗哥哥 
8,回复@我是kiki嗯:吼吼吼没有关系不要控制自己，哈哈哈爱了 
9,回复@OMWJADEN:看 我说什么 别装视而不见了 看看我首页那条再说话行吗 
10,你个老太婆叭叭个屁，五十八了还在那嘚瑟嘚瑟，这嘚瑟嘚瑟，你他妈是不知道你的体重是几个蔡徐坤吗？年龄也是如此，从来没有这样骂过任何蹭热度的，除了你个老妈子，你他妈撒谎欺骗大家你还有理了，咋滴，被骂活了之后就要看看成就一番新事业了?榜一现在恨不得弄死你吧，不想早死就滚远点，老太婆 
11,回复@减负:不p也秒杀好嘛哈哈哈哈哈哈 
12,回复@减负:确实漂亮 
13,emmmm，拿蔡徐坤来洗白自己真的恶心 
14,回复@爱吃橙子的小阿离:upup三观好正 
15,奶奶我想把你按在地上草 
16,回复@只会说meaqua:谢谢可爱的小鸡咪 
17,回复@抗压吧务团队_1:6 
18,你以为你是谁啊，还和蔡徐坤比？你是跟人家比颜啊，还是比才啊？不自量力，老奶奶👎 
19,奶奶你不配 
20,回复@减负:能删评吗？虽然他怎样到都好看但是不至于这样。 
21,回复@优质帅哥不可多得:这话说的良心不痛啊你，还cxk好看，明明身为一个中国人想想他在自我介绍时说自己来自美国的时候吧，心寒吗？这俩货根本没法比好吧，都一嘿样 
22,回复@减负:啊啊啊啊啊漂亮弟弟！ 
23,回复@抽风的卧蚕:快给奶奶道歉 我们要尊老爱幼 
24,好不要脸， 
